Class ID,Preferred Label
http://purl.jp/bio/11/csso/CSSO_000180,Paresthesia
http://purl.jp/bio/11/csso/CSSO_000093,Constipation
http://purl.jp/bio/11/csso/CSSO_000261,Osteomyelitis
http://purl.jp/bio/11/csso/CSSO_000052,Visual symptom
http://purl.jp/bio/11/csso/CSSO_000007,Abortion
http://purl.jp/bio/11/csso/CSSO_000281,Scrotal pain
http://purl.jp/bio/11/csso/CSSO_000117,Eyelid pain
http://purl.jp/bio/11/csso/CSSO_000236,Vaginal discharge
http://purl.jp/bio/11/csso/CSSO_000111,Earache
http://purl.jp/bio/11/csso/CSSO_000044,Sleep disturbance
http://purl.jp/bio/11/csso/CSSO_000021,Gastrointestinal symptom
http://purl.jp/bio/11/csso/CSSO_000137,Irritability
http://purl.jp/bio/11/csso/CSSO_000256,Eyelid tenderness
http://purl.jp/bio/11/csso/CSSO_000131,High fever
http://purl.jp/bio/11/csso/CSSO_000187,Poor feeding
http://purl.jp/bio/11/csso/CSSO_000072,Blindness
http://purl.jp/bio/11/csso/CSSO_000151,Liver pain
http://purl.jp/bio/11/csso/CSSO_000215,Stupor
http://purl.jp/bio/11/csso/CSSO_000288,Shin pain
http://purl.jp/bio/11/csso/CSSO_000064,Arthritis
http://purl.jp/bio/11/csso/CSSO_000019,Feces symptom
http://purl.jp/bio/11/csso/CSSO_000270,Urethritis
http://purl.jp/bio/11/csso/CSSO_000106,Dry cough
http://purl.jp/bio/11/csso/CSSO_000001,Abdomen and digestive system symptom
http://purl.jp/bio/11/csso/CSSO_000225,Tenderness
http://purl.jp/bio/11/csso/CSSO_000167,Myalgia
http://purl.jp/bio/11/csso/CSSO_000290,Blurred vision
http://purl.jp/bio/11/csso/CSSO_000126,Swollen gums
http://purl.jp/bio/11/csso/CSSO_000120,Steatorrhea
http://purl.jp/bio/11/csso/CSSO_000199,Rhinorrhea
http://purl.jp/bio/11/csso/CSSO_000245,Wheezing
http://purl.jp/bio/11/csso/CSSO_000061,Anorexia
http://purl.jp/bio/11/csso/CSSO_000039,Nose symptom
http://purl.jp/bio/11/csso/CSSO_000033,Bleeding mouth
http://purl.jp/bio/11/csso/CSSO_000118,Facial swelling
http://purl.jp/bio/11/csso/CSSO_000059,Altered mental status
http://purl.jp/bio/11/csso/CSSO_000053,Weakness
http://purl.jp/bio/11/csso/CSSO_000204,Severe pain
http://purl.jp/bio/11/csso/CSSO_000146,Leg cramp
http://purl.jp/bio/11/csso/CSSO_000265,Skin induration
http://purl.jp/bio/11/csso/CSSO_000140,Joint pain
http://purl.jp/bio/11/csso/CSSO_000079,Bradycardia
http://purl.jp/bio/11/csso/CSSO_000224,Tender lymph node
http://purl.jp/bio/11/csso/CSSO_000073,Blister
http://purl.jp/bio/11/csso/CSSO_000160,Malaise
http://purl.jp/bio/11/csso/CSSO_000183,Pigmentation
http://purl.jp/bio/11/csso/CSSO_000138,Itching
http://purl.jp/bio/11/csso/CSSO_000010,Clinical signs and symptoms
http://purl.jp/bio/11/csso/CSSO_000303,Growth retardation
http://purl.jp/bio/11/csso/CSSO_000176,Pain
http://purl.jp/bio/11/csso/CSSO_000285,Chancre
http://purl.jp/bio/11/csso/CSSO_000089,Chronic cough
http://purl.jp/bio/11/csso/CSSO_000196,Relapsing fever
http://purl.jp/bio/11/csso/CSSO_000048,Breast symptom
http://purl.jp/bio/11/csso/CSSO_000277,Hoarseness
http://purl.jp/bio/11/csso/CSSO_000135,Impotence
http://purl.jp/bio/11/csso/CSSO_000254,Double vision
http://purl.jp/bio/11/csso/CSSO_000107,Dyspareunia
http://purl.jp/bio/11/csso/CSSO_000062,Anus pain
http://purl.jp/bio/11/csso/CSSO_000297,Polyarthritis
http://purl.jp/bio/11/csso/CSSO_000127,Headache
http://purl.jp/bio/11/csso/CSSO_000068,Bacteremia
http://purl.jp/bio/11/csso/CSSO_000192,Rash
http://purl.jp/bio/11/csso/CSSO_000147,Leg pain
http://purl.jp/bio/11/csso/CSSO_000302,Hypoglycemia
http://purl.jp/bio/11/csso/CSSO_000082,Breast pain
http://purl.jp/bio/11/csso/CSSO_000098,Deformity
http://purl.jp/bio/11/csso/CSSO_000042,Sensory disturbance
http://purl.jp/bio/11/csso/CSSO_000266,Sneezing
http://purl.jp/bio/11/csso/CSSO_000213,Stiff neck
http://purl.jp/bio/11/csso/CSSO_000286,Heartburn
http://purl.jp/bio/11/csso/CSSO_000057,Abdominal tenderness
http://purl.jp/bio/11/csso/CSSO_000136,Inflammation
http://purl.jp/bio/11/csso/CSSO_000205,Shock
http://purl.jp/bio/11/csso/CSSO_000049,Throat symptom
http://purl.jp/bio/11/csso/CSSO_000181,Petechiae
http://purl.jp/bio/11/csso/CSSO_000091,Confusion
http://purl.jp/bio/11/csso/CSSO_000069,Bladder irritability
http://purl.jp/bio/11/csso/CSSO_000100,Desquamation
http://purl.jp/bio/11/csso/CSSO_000156,Lymphadenopathy
http://purl.jp/bio/11/csso/CSSO_000041,Respiratory system symptom
http://purl.jp/bio/11/csso/CSSO_000029,Joint symptom
http://purl.jp/bio/11/csso/CSSO_000116,Eye pain
http://purl.jp/bio/11/csso/CSSO_000202,Septicemia
http://purl.jp/bio/11/csso/CSSO_000051,Vascular symptom
http://purl.jp/bio/11/csso/CSSO_000295,Mucous stool
http://purl.jp/bio/11/csso/CSSO_000071,Blepharitis
http://purl.jp/bio/11/csso/CSSO_000190,Pyuria
http://purl.jp/bio/11/csso/CSSO_000214,Stillbirth
http://purl.jp/bio/11/csso/CSSO_000030,Lesion
http://purl.jp/bio/11/csso/CSSO_000008,Alteration of consciousness
http://purl.jp/bio/11/csso/CSSO_000234,Urinary urgency
http://purl.jp/bio/11/csso/CSSO_000165,Muscle tone
http://purl.jp/bio/11/csso/CSSO_000188,Prostration
http://purl.jp/bio/11/csso/CSSO_000050,Urinary system symptom
http://purl.jp/bio/11/csso/CSSO_000274,Polydipsia
http://purl.jp/bio/11/csso/CSSO_000022,General symptom
http://purl.jp/bio/11/csso/CSSO_000078,Bone pain
http://purl.jp/bio/11/csso/CSSO_000115,Eye discharge
http://purl.jp/bio/11/csso/CSSO_000060,Anemia
http://purl.jp/bio/11/csso/CSSO_000038,Nervous system symptom
http://purl.jp/bio/11/csso/CSSO_000170,Neck swelling
http://purl.jp/bio/11/csso/CSSO_000125,Gum pain
http://purl.jp/bio/11/csso/CSSO_000209,Splenomegaly
http://purl.jp/bio/11/csso/CSSO_000058,Abscess
http://purl.jp/bio/11/csso/CSSO_000203,Severe headache
http://purl.jp/bio/11/csso/CSSO_000145,Large tonsil
http://purl.jp/bio/11/csso/CSSO_000080,Brain lesion
http://purl.jp/bio/11/csso/CSSO_000017,Eye symptom
http://purl.jp/bio/11/csso/CSSO_000011,Change in skin color
http://purl.jp/bio/11/csso/CSSO_000104,Dizziness
http://purl.jp/bio/11/csso/CSSO_000177,Papule
http://purl.jp/bio/11/csso/CSSO_000223,Teary eye
http://purl.jp/bio/11/csso/CSSO_000037,Neck symptom
http://purl.jp/bio/11/csso/CSSO_000031,Liver symptom
http://purl.jp/bio/11/csso/CSSO_000124,Bleeding gums
http://purl.jp/bio/11/csso/CSSO_000197,Respiratory failure
http://purl.jp/bio/11/csso/CSSO_000243,Watery diarrhea
http://purl.jp/bio/11/csso/CSSO_000134,Hypotension
http://purl.jp/bio/11/csso/CSSO_000092,Nasal congestion
http://purl.jp/bio/11/csso/CSSO_000185,Pleuritic chest pain
http://purl.jp/bio/11/csso/CSSO_000047,Stiffness
http://purl.jp/bio/11/csso/CSSO_000154,Low grade fever
http://purl.jp/bio/11/csso/CSSO_000006,Abnormal heart beat
http://purl.jp/bio/11/csso/CSSO_000263,Red eye
http://purl.jp/bio/11/csso/CSSO_000067,Backache
http://purl.jp/bio/11/csso/CSSO_000255,Eyelid redness
http://purl.jp/bio/11/csso/CSSO_000301,Change in bowel habit
http://purl.jp/bio/11/csso/CSSO_000113,Erythema
http://purl.jp/bio/11/csso/CSSO_000087,Chest pain
http://purl.jp/bio/11/csso/CSSO_000232,Ulcer
http://purl.jp/bio/11/csso/CSSO_000026,Hematic system symptom
http://purl.jp/bio/11/csso/CSSO_000105,Drowsiness
http://purl.jp/bio/11/csso/CSSO_000046,Spleen symptom
http://purl.jp/bio/11/csso/CSSO_000040,Reproductive system and breast symptom
http://purl.jp/bio/11/csso/CSSO_000275,Polyphagia
http://purl.jp/bio/11/csso/CSSO_000252,Dehydration
http://purl.jp/bio/11/csso/CSSO_000056,Abdominal pain
http://purl.jp/bio/11/csso/CSSO_000143,Joint tenderness
http://purl.jp/bio/11/csso/CSSO_000166,Muscle weakness
http://purl.jp/bio/11/csso/CSSO_000212,Stiff jaw
http://purl.jp/bio/11/csso/CSSO_000076,Bloody stool
http://purl.jp/bio/11/csso/CSSO_000099,Delirium
http://purl.jp/bio/11/csso/CSSO_000020,Food and fluid intake system symptom
http://purl.jp/bio/11/csso/CSSO_000244,Weight loss
http://purl.jp/bio/11/csso/CSSO_000186,Pneumonia
http://purl.jp/bio/11/csso/CSSO_000035,Muscle symptom
http://purl.jp/bio/11/csso/CSSO_000096,Hypochlorhydria
http://purl.jp/bio/11/csso/CSSO_000264,Renal failure
http://purl.jp/bio/11/csso/CSSO_000027,Immune system symptom
http://purl.jp/bio/11/csso/CSSO_000284,Opisthotonos
http://purl.jp/bio/11/csso/CSSO_000114,Eschar
http://purl.jp/bio/11/csso/CSSO_000102,Diarrhea
http://purl.jp/bio/11/csso/CSSO_000175,Nodule
http://purl.jp/bio/11/csso/CSSO_000221,Tachycardia
http://purl.jp/bio/11/csso/CSSO_000015,Discharge
http://purl.jp/bio/11/csso/CSSO_000088,Chills
http://purl.jp/bio/11/csso/CSSO_000239,Vertigo
http://purl.jp/bio/11/csso/CSSO_000259,Meningitis
http://purl.jp/bio/11/csso/CSSO_000195,Regional adenopathy
http://purl.jp/bio/11/csso/CSSO_000273,Polyuria
http://purl.jp/bio/11/csso/CSSO_000109,Dyspnea
http://purl.jp/bio/11/csso/CSSO_000081,Induration of breast
http://purl.jp/bio/11/csso/CSSO_000174,Night sweats
http://purl.jp/bio/11/csso/CSSO_000293,Redness gum
